City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,westport,41.1415,-73.3579,10.96,67,100,3.6,US,1715480197
199,mongu,-15.2484,23.1274,19.33,47,73,3.02,ZM,1715480422
200,varzelandia,-15.7014,-44.0275,24.58,55,100,0.7,BR,1715480423
201,prince rupert,54.3161,-130.3201,11.05,71,75,4.12,CA,1715480240
202,xiantao,30.3833,113.4,25.21,41,98,2.04,CN,1715480423
203,carnarvon,-24.8667,113.6333,26.89,33,100,5.44,AU,1715480423
204,nar'yan-mar,67.6713,53.087,-3.83,94,96,5.36,RU,1715480423
205,paita,-5.0892,-81.1144,20.4,82,100,6.35,PE,1715480424
206,burao,9.5221,45.5336,24.74,67,100,2.58,SO,1715480424
207,hoopstad,-27.8327,25.9083,13.45,39,0,1.38,ZA,1715480424
208,mar del plata,-38.0023,-57.5575,12.27,65,75,5.14,AR,1715480424
209,gamba,-2.65,10.0,26.01,93,100,1.77,GA,1715480424
210,alofi,-19.0595,-169.9187,26.94,50,24,7.2,NU,1715480425
211,kudahuvadhoo,2.6708,72.8944,29.29,76,41,5.1,MV,1715480425
212,vilyuysk,63.7553,121.6247,1.11,50,100,2.24,RU,1715480425
213,narragansett,41.4501,-71.4495,10.11,65,0,0.0,US,1715480425
214,ghat,24.9647,10.1728,22.51,22,0,1.64,LY,1715480426
215,oltinko'l,40.8011,72.1634,17.31,64,100,1.62,UZ,1715480426
216,binzhou,37.3667,118.0167,23.86,22,0,3.96,CN,1715480426
217,constitucion,-35.3333,-72.4167,8.59,87,3,2.49,CL,1715480426
218,hiratacho,35.4333,132.8167,18.01,94,75,2.06,JP,1715480426
219,maamba,-17.3667,27.15,17.7,57,0,0.4,ZM,1715480427
220,guymon,36.6828,-101.4816,17.0,72,100,4.12,US,1715480427
221,brookings,44.3114,-96.7984,20.21,50,0,3.6,US,1715480427
222,georgetown,5.4112,100.3354,30.96,72,20,2.06,MY,1715480427
223,markovo,57.3206,107.0881,15.25,67,100,3.06,RU,1715480428
224,stiens,53.2623,5.7577,13.3,87,100,4.12,NL,1715480428
225,pacific grove,36.6177,-121.9166,17.42,84,75,3.09,US,1715480428
226,luanda,-8.8368,13.2343,24.7,93,100,1.95,AO,1715480211
227,fort st. john,56.2499,-120.8529,13.94,28,100,3.09,CA,1715480428
228,saint-joseph,-21.3667,55.6167,21.21,79,36,5.42,RE,1715480429
229,port mathurin,-19.6833,63.4167,25.2,77,17,9.23,MU,1715480429
230,kill devil hills,36.0307,-75.676,13.32,78,0,2.06,US,1715480429
231,queenstown,-31.8976,26.8753,9.92,79,97,0.94,ZA,1715480046
232,simpang,-1.2667,104.0833,27.45,88,97,1.67,ID,1715480429
233,reggane,26.7158,0.1714,28.85,14,100,5.31,DZ,1715480430
234,tolanaro,-25.0319,46.9987,19.69,92,14,4.22,MG,1715480430
235,mocajuba,-2.5842,-49.5072,24.02,100,96,1.25,BR,1715480430
236,tashkent,41.2646,69.2163,14.97,82,100,2.06,UZ,1715480430
237,atafu village,-8.5421,-172.5159,29.91,67,12,4.28,TK,1715480430
238,minot,48.2325,-101.2963,21.12,37,20,3.6,US,1715480431
239,afaahiti,-17.75,-149.2833,28.93,80,3,5.23,PF,1715480431
240,ribeira brava,32.65,-17.0667,19.35,74,6,0.51,PT,1715480431
241,grand falls-windsor,48.9332,-55.6649,3.61,86,100,2.41,CA,1715480431
242,fort bragg,35.139,-79.006,19.91,55,100,3.6,US,1715480431
243,vila franca do campo,37.7167,-25.4333,18.27,99,15,1.04,PT,1715480432
244,new norfolk,-42.7826,147.0587,16.07,63,10,1.43,AU,1715480432
245,owase,34.0667,136.2,18.49,79,100,3.44,JP,1715480432
246,uliastay,47.7417,96.8444,20.19,16,1,1.65,MN,1715480433
247,kavarna,43.4333,28.3333,14.6,78,33,5.73,BG,1715480433
248,klyuchi,52.2667,79.1667,13.03,33,0,1.63,RU,1715480433
249,safi,32.1667,-8.8333,15.4,91,17,4.05,MA,1715480433
250,chonchi,-42.6128,-73.8092,3.95,91,16,1.19,CL,1715480434
251,ulaangom,49.9811,92.0667,21.0,23,100,1.63,MN,1715480434
252,binhe,32.6883,112.8275,25.53,32,90,0.6,CN,1715480434
253,sandnessjoen,66.0217,12.6316,6.29,95,100,8.47,NO,1715480434
254,amal,59.051,12.7049,8.34,74,48,1.8,SE,1715480434
255,pisco,-13.7,-76.2167,19.03,82,0,1.54,PE,1715480435
256,cayambe,0.05,-78.1333,12.59,87,96,2.36,EC,1715480435
257,juankoski,63.0667,28.35,-0.02,89,37,1.35,FI,1715480435
258,puerto colombia,10.9878,-74.9547,29.05,87,100,5.18,CO,1715480435
259,sitka,57.0531,-135.33,7.94,66,100,7.2,US,1715480435
260,nuuk,64.1835,-51.7216,-0.66,86,100,6.71,GL,1715480365
261,dolores,-36.3132,-57.6792,6.17,90,79,3.89,AR,1715480436
262,point fortin,10.1833,-61.6833,28.27,84,100,6.79,TT,1715480436
263,manadhoo,5.7667,73.3833,29.55,72,67,3.8,MV,1715480436
264,vadso,70.0744,29.7487,0.09,86,100,3.09,NO,1715480436
265,elliot lake,46.3834,-82.6331,6.73,96,100,1.6,CA,1715480437
266,karratha,-20.7377,116.8463,28.59,27,0,7.26,AU,1715480437
267,vernon,50.2581,-119.2691,28.58,24,0,1.79,CA,1715480404
268,pocahontas,36.2615,-90.9712,21.93,51,0,0.0,US,1715480437
269,ponce,18.073,-66.6185,27.17,83,16,1.37,PR,1715480237
270,rio grande,-32.035,-52.0986,18.06,90,100,7.13,BR,1715480437
271,kruisfontein,-34.0033,24.7314,9.94,73,3,3.36,ZA,1715480438
272,roma,43.2128,-75.4557,12.28,85,100,2.06,US,1715480421
273,saldanha,-33.0117,17.9442,8.03,81,3,6.91,ZA,1715480438
274,myeik,12.4333,98.6,28.86,72,80,1.79,MM,1715480438
275,bodo,67.28,14.405,7.1,94,100,4.12,NO,1715480438
276,sagaing,21.8787,95.9797,29.1,65,20,1.54,MM,1715480439
277,progreso,21.2833,-89.6667,30.06,89,51,8.65,MX,1715480439
278,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,75,40,3.58,RU,1715480439
279,ormara,25.2088,64.6357,27.54,71,61,1.37,PK,1715480439
280,vanimo,-2.6741,141.3028,31.33,68,51,2.97,PG,1715480439
281,mount gambier,-37.8333,140.7667,18.77,50,97,0.61,AU,1715480440
282,urzhar,47.093,81.6294,17.77,74,98,1.21,KZ,1715480440
283,puerto aysen,-45.4,-72.7,0.06,98,100,1.16,CL,1715480440
284,qamdo,31.1667,97.2333,6.15,44,1,1.51,CN,1715480440
285,bunia,1.5667,30.25,18.11,91,17,2.43,CD,1715480440
286,temirtau,50.0544,72.9483,11.88,33,0,2.22,KZ,1715480441
287,inhambane,-23.865,35.3833,22.72,83,48,1.05,MZ,1715480441
288,pocone,-16.2567,-56.6228,24.47,57,0,2.14,BR,1715480441
289,at taj,24.2049,23.2857,19.85,37,0,4.69,LY,1715480441
290,martapura,-3.4167,114.85,29.28,79,68,1.41,ID,1715480441
291,krasnoshchekovo,51.6708,82.7289,11.74,61,0,1.12,RU,1715480442
292,denison,33.7557,-96.5367,22.01,68,75,1.54,US,1715480442
293,amfissa,38.525,22.3731,13.6,55,18,3.08,GR,1715480442
